time,Longitude,Latitude,Altitude (m),Speed (km/h),Total Distance (km)
03:32.0,13.267068,77.749484,124.6,11.5,2804.234
03:33.0,13.267087,77.749515,124.5,12.8,2804.202
03:34.0,13.267108,77.749551,124.5,13.4,2804.206
03:35.0,13.267123,77.749577,124.7,10.6,2804.209
03:36.0,13.26714,77.749605,124.7,10.8,2804.212
03:37.0,13.26716,77.749638,124.5,14.5,2804.216
03:38.0,13.267185,77.74968,124.7,15.4,2804.221
03:39.0,13.267205,77.749712,124.7,14.3,2804.224
03:40.0,13.267229,77.749753,124.7,15.1,2804.229
03:41.0,13.267247,77.749782,124.7,12.5,2804.232
03:42.0,13.267263,77.74981,124.7,10.2,2804.235
03:43.0,13.267279,77.749835,124.7,10.2,2804.238
03:44.0,13.267294,77.749861,124.6,9.7,2804.241
03:45.0,13.267307,77.749882,124.8,9.0,2804.243
03:46.0,13.267323,77.74991,124.9,10.4,2804.246
03:47.0,13.267339,77.749936,124.8,11.1,2804.249
03:48.0,13.267355,77.749963,124.8,10.3,2804.252
03:49.0,13.267369,77.749985,125.0,9.4,2804.255
03:50.0,13.267383,77.750009,125.0,9.1,2804.257
03:51.0,13.267398,77.750035,124.8,10.1,2804.26
03:52.0,13.26742,77.75007,124.7,15.6,2804.264
03:53.0,13.267445,77.750113,124.7,16.9,2804.269
03:54.0,13.267466,77.750147,124.9,15.0,2804.272
03:55.0,13.267491,77.750189,125.0,15.6,2804.277
03:56.0,13.26751,77.75022,124.8,13.3,2804.281
03:57.0,13.267526,77.750247,124.6,9.9,2804.284
03:58.0,13.267542,77.750275,124.6,11.2,2804.287
03:59.0,13.267562,77.750307,124.6,13.9,2804.29
04:00.0,13.267582,77.750341,124.7,12.4,2804.294
04:01.0,13.267597,77.750366,124.9,10.1,2804.297
04:02.0,13.267618,77.7504,125.3,10.2,2804.301
04:03.0,13.267639,77.750435,125.4,13.7,2804.304
04:04.0,13.267659,77.750469,125.2,14.9,2804.308
04:05.0,13.267684,77.750511,125.1,15.6,2804.313
04:06.0,13.267704,77.750545,124.9,14.5,2804.317
04:07.0,13.267729,77.750586,124.9,15.5,2804.321
04:08.0,13.267748,77.750618,124.9,13.7,2804.325
04:09.0,13.267767,77.750649,124.9,12.0,2804.328
04:10.0,13.267785,77.75068,125.0,11.7,2804.332
04:11.0,13.267805,77.750713,125.0,13.6,2804.335
04:12.0,13.26775,77.750622,125.0,10.9,2804.338
04:13.0,13.267768,77.750651,125.0,12.6,2804.328
04:14.0,13.267785,77.75068,125.1,10.6,2804.332
04:15.0,13.2678,77.750704,125.2,9.8,2804.334
04:16.0,13.267816,77.750732,125.3,11.4,2804.337
04:17.0,13.267838,77.750768,125.3,14.0,2804.341
04:18.0,13.267858,77.750801,125.2,14.3,2804.345
04:19.0,13.267884,77.750844,125.2,16.6,2804.35
04:20.0,13.267905,77.75088,125.4,14.9,2804.354
04:21.0,13.267927,77.750916,125.5,13.2,2804.358
04:22.0,13.267943,77.750942,125.5,10.7,2804.361
04:23.0,13.267961,77.750973,125.3,13.3,2804.364
04:24.0,13.267985,77.751013,125.2,14.6,2804.369
04:25.0,13.268006,77.751047,125.3,14.8,2804.372
04:26.0,13.268029,77.751087,125.2,14.8,2804.377
04:27.0,13.268048,77.751118,125.3,13.7,2804.38
04:28.0,13.268067,77.751149,125.2,11.4,2804.384
04:29.0,13.268084,77.751177,125.1,10.9,2804.387
04:30.0,13.268103,77.751209,125.2,14.1,2804.39
04:31.0,13.268125,77.751247,125.4,13.7,2804.395
04:32.0,13.26824,77.751437,125.2,13.2,2804.416
04:33.0,13.26826,77.751471,125.3,13.3,2804.419
04:34.0,13.268284,77.75151,125.4,14.8,2804.424
04:35.0,13.2683,77.751538,125.3,12.1,2804.427
04:36.0,13.268319,77.751569,125.2,11.2,2804.43
04:37.0,13.268333,77.751593,125.3,10.0,2804.433
04:38.0,13.26835,77.751621,125.4,12.2,2804.436
04:39.0,13.268373,77.75166,125.3,14.4,2804.44
04:40.0,13.268393,77.751692,125.2,13.7,2804.444
04:41.0,13.268413,77.751727,125.3,12.9,2804.448
04:42.0,13.268431,77.751755,125.3,12.1,2804.451
04:43.0,13.268446,77.75178,125.2,10.2,2804.454
04:44.0,13.268458,77.751802,125.4,8.8,2804.456
04:45.0,13.268471,77.751823,125.4,8.7,2804.459
04:46.0,13.268493,77.751859,125.4,14.1,2804.463
04:47.0,13.268512,77.751892,125.5,13.8,2804.466
04:48.0,13.268534,77.751927,125.7,13.2,2804.47
04:49.0,13.26855,77.751955,125.8,11.9,2804.473
04:50.0,13.268566,77.75198,125.8,9.4,2804.476
04:51.0,13.268585,77.752013,125.7,12.9,2804.48
04:52.0,13.268605,77.752045,125.7,13.6,2804.483
04:53.0,13.268627,77.752083,125.7,15.1,2804.487
04:54.0,13.268646,77.752114,125.7,13.6,2804.491
04:55.0,13.268664,77.752145,125.6,11.1,2804.494
04:56.0,13.268679,77.752169,125.5,9.7,2804.497
04:57.0,13.268699,77.752202,125.6,14.3,2804.501
04:58.0,13.268724,77.752244,125.7,15.3,2804.505
04:59.0,13.268743,77.752276,125.6,14.3,2804.509
05:00.0,13.268763,77.75231,125.4,12.1,2804.513
05:01.0,13.268778,77.752335,125.4,10.4,2804.515
05:02.0,13.268574,77.751994,126.1,16.3,2804.517
05:03.0,13.268601,77.752039,126.3,16.5,2804.482
05:04.0,13.268619,77.75207,126.4,13.7,2804.486
05:05.0,13.268638,77.752101,126.3,11.2,2804.489
05:06.0,13.268652,77.752124,126.2,9.1,2804.492
05:07.0,13.268668,77.752151,126.3,11.4,2804.495
05:08.0,13.268692,77.752192,126.2,15.8,2804.499
05:09.0,13.268712,77.752225,126.2,14.5,2804.503
05:10.0,13.268732,77.752258,126.2,12.0,2804.507
05:11.0,13.268746,77.75228,126.2,9.5,2804.509
05:12.0,13.268952,77.752625,125.7,11.5,2804.547
05:13.0,13.268975,77.752663,125.7,15.1,2804.552
05:14.0,13.268995,77.752696,125.9,14.4,2804.555
05:15.0,13.269016,77.752731,125.9,12.8,2804.559
05:16.0,13.269031,77.752757,126.0,10.4,2804.562
05:17.0,13.269051,77.75279,126.1,13.7,2804.566
05:18.0,13.269075,77.75283,126.1,15.7,2804.57
05:19.0,13.269097,77.752866,126.2,15.7,2804.574
05:20.0,13.269121,77.752907,126.2,14.8,2804.579
05:21.0,13.26914,77.752938,126.2,13.5,2804.582
05:22.0,13.269157,77.752966,126.3,10.4,2804.585
05:23.0,13.269175,77.752995,126.2,11.4,2804.589
05:24.0,13.269194,77.753027,126.1,13.7,2804.592
05:25.0,13.269215,77.753063,126.3,12.9,2804.596
05:26.0,13.26923,77.753088,126.3,10.8,2804.599
05:27.0,13.269247,77.753116,126.2,10.9,2804.602
05:28.0,13.269263,77.753142,126.2,10.5,2804.605
05:29.0,13.269285,77.753179,126.2,15.7,2804.609
05:30.0,13.269308,77.753218,126.3,14.0,2804.613
05:31.0,13.269326,77.753247,126.3,13.0,2804.617
05:32.0,13.269021,77.75274,126.1,11.2,2804.619
05:33.0,13.269035,77.752763,126.1,9.0,2804.563
05:34.0,13.269048,77.752785,126.1,9.0,2804.565
05:35.0,13.269066,77.752814,126.1,11.6,2804.569
05:36.0,13.269086,77.752848,126.0,14.7,2804.572
05:37.0,13.269108,77.752885,126.1,13.3,2804.576
05:38.0,13.269125,77.752912,126.2,11.8,2804.579
05:39.0,13.269143,77.752943,126.2,12.0,2804.583
05:40.0,13.269167,77.752983,126.2,15.7,2804.587
05:41.0,13.269188,77.753017,126.2,14.6,2804.591
05:42.0,13.26921,77.753055,126.0,13.8,2804.595
05:43.0,13.269227,77.753083,126.0,10.5,2804.598
05:44.0,13.269241,77.753107,125.9,9.5,2804.601
05:45.0,13.269259,77.753136,125.9,11.6,2804.604
05:46.0,13.269278,77.753168,125.9,13.9,2804.608
05:47.0,13.269303,77.75321,125.8,15.4,2804.612
05:48.0,13.269323,77.753243,125.7,14.3,2804.616
05:49.0,13.269341,77.753273,125.7,11.0,2804.619
05:50.0,13.269358,77.7533,125.6,10.8,2804.622
05:51.0,13.269377,77.753333,125.6,14.5,2804.626
05:52.0,13.269401,77.753373,125.6,14.5,2804.631
05:53.0,13.269417,77.753399,125.5,9.9,2804.633
05:54.0,13.269431,77.753423,125.4,8.9,2804.636
05:55.0,13.269446,77.753447,125.4,9.7,2804.639
05:56.0,13.269463,77.753477,125.4,12.4,2804.642
05:57.0,13.269487,77.753515,125.4,14.8,2804.646
05:58.0,13.269507,77.753549,125.4,14.8,2804.65
05:59.0,13.26953,77.753588,125.3,14.1,2804.654
06:00.0,13.269545,77.753612,125.2,11.1,2804.657
06:01.0,13.269559,77.753637,125.2,9.0,2804.66
06:02.0,13.269487,77.753516,125.6,12.6,2804.662
06:03.0,13.269507,77.753549,125.6,14.1,2804.65
06:04.0,13.26953,77.753587,125.7,14.1,2804.654
06:05.0,13.269544,77.753611,125.8,10.0,2804.657
06:06.0,13.269561,77.753639,125.9,10.5,2804.66
06:07.0,13.269579,77.753669,125.9,12.1,2804.663
06:08.0,13.2696,77.753704,125.7,15.1,2804.667
06:09.0,13.269625,77.753745,125.8,15.5,2804.672
06:10.0,13.269641,77.753772,125.7,11.3,2804.675
06:11.0,13.269656,77.753797,125.6,9.7,2804.678
06:12.0,13.269737,77.753932,125.3,11.6,2804.693
06:13.0,13.269758,77.753967,125.2,14.1,2804.696
06:14.0,13.269779,77.754003,125.3,13.4,2804.7
06:15.0,13.269796,77.75403,125.3,11.6,2804.704
06:16.0,13.269813,77.75406,125.3,11.4,2804.707
06:17.0,13.269835,77.754095,125.7,13.9,2804.711
06:18.0,13.269855,77.754129,125.8,14.4,2804.714
06:19.0,13.269874,77.75416,125.9,11.5,2804.718
06:20.0,13.26989,77.754188,125.9,11.3,2804.721
06:21.0,13.269908,77.754217,126.0,12.1,2804.724
06:22.0,13.26993,77.754254,125.8,14.3,2804.728
06:23.0,13.269952,77.754291,125.7,14.7,2804.732
06:24.0,13.269976,77.754331,125.7,14.7,2804.737
06:25.0,13.26999,77.754354,125.7,9.5,2804.739
06:26.0,13.270004,77.754378,125.8,9.3,2804.742
06:27.0,13.270019,77.754402,125.7,9.6,2804.745
06:28.0,13.270039,77.754435,125.7,14.4,2804.748
06:29.0,13.270064,77.754477,125.8,15.6,2804.753
06:30.0,13.270084,77.754512,125.9,14.8,2804.757
06:31.0,13.270109,77.754553,125.9,15.6,2804.762
06:32.0,13.270143,77.75461,125.6,15.9,2804.768
06:33.0,13.27017,77.754655,125.5,16.9,2804.773
06:34.0,13.270191,77.754689,125.4,14.8,2804.777
06:35.0,13.270215,77.75473,125.6,15.1,2804.781
06:36.0,13.270231,77.754756,125.5,11.5,2804.784
06:37.0,13.270249,77.754786,125.4,10.9,2804.787
06:38.0,13.270264,77.754812,125.5,11.0,2804.79
06:39.0,13.270281,77.754839,125.6,10.3,2804.793
06:40.0,13.270294,77.754861,125.6,9.2,2804.796
06:41.0,13.27031,77.754888,125.5,10.9,2804.799
06:42.0,13.270331,77.754922,125.5,13.2,2804.803
06:43.0,13.270352,77.754958,125.4,14.4,2804.806
06:44.0,13.270378,77.755001,125.4,16.0,2804.811
06:45.0,13.270398,77.755034,125.4,14.5,2804.815
06:46.0,13.27042,77.755071,125.4,13.5,2804.819
06:47.0,13.270438,77.755101,125.5,13.0,2804.822
06:48.0,13.270454,77.755127,125.5,10.5,2804.825
06:49.0,13.27047,77.755154,125.5,9.7,2804.828
06:50.0,13.270487,77.755183,125.4,11.8,2804.832
06:51.0,13.270508,77.755218,125.3,14.9,2804.835
06:52.0,13.270532,77.755257,125.3,14.6,2804.84
06:53.0,13.270553,77.755293,125.3,14.4,2804.844
06:54.0,13.270578,77.755335,125.2,15.6,2804.848
06:55.0,13.270599,77.755369,125.4,14.9,2804.852
06:56.0,13.270622,77.755408,125.5,14.1,2804.856
06:57.0,13.270638,77.755434,125.5,11.4,2804.859
06:58.0,13.270658,77.755467,125.4,12.5,2804.863
06:59.0,13.270672,77.755491,125.5,9.9,2804.866
07:00.0,13.270691,77.755523,125.4,12.2,2804.869
07:01.0,13.270706,77.755548,125.3,10.6,2804.872
07:02.0,13.270796,77.755697,124.9,10.1,2804.889
07:03.0,13.270807,77.755717,124.8,8.2,2804.891
07:04.0,13.270824,77.755744,124.8,10.2,2804.894
07:05.0,13.270839,77.75577,124.8,11.1,2804.897
07:06.0,13.270854,77.755795,124.8,9.4,2804.899
07:07.0,13.270867,77.755816,124.8,9.1,2804.902
07:08.0,13.270883,77.755842,124.8,9.7,2804.905
07:09.0,13.2709,77.755872,124.8,13.2,2804.908
07:10.0,13.270923,77.755909,124.9,13.6,2804.912
07:11.0,13.270938,77.755935,124.8,11.4,2804.915
07:12.0,13.270876,77.755831,125.1,10.9,2804.917
07:13.0,13.270894,77.755861,125.2,12.5,2804.907
07:14.0,13.270918,77.7559,125.1,14.4,2804.911
07:15.0,13.270936,77.755931,125.2,13.3,2804.914
07:16.0,13.270961,77.755972,125.2,15.5,2804.919
07:17.0,13.270981,77.756007,125.0,15.1,2804.923
07:18.0,13.271007,77.756049,124.7,15.5,2804.928
07:19.0,13.271025,77.75608,124.5,13.7,2804.931
07:20.0,13.271044,77.756111,124.4,11.5,2804.934
07:21.0,13.271063,77.756143,124.2,12.3,2804.938
07:22.0,13.27108,77.756171,124.2,11.9,2804.941
07:23.0,13.271101,77.756206,124.2,13.9,2804.945
07:24.0,13.271116,77.756231,124.2,9.9,2804.948
07:25.0,13.271131,77.756256,124.3,11.6,2804.951
07:26.0,13.271157,77.756299,124.3,16.1,2804.955
07:27.0,13.271176,77.756332,124.6,13.9,2804.959
07:28.0,13.271195,77.756362,124.7,11.3,2804.962
07:29.0,13.271214,77.756395,124.8,12.9,2804.966
07:30.0,13.271233,77.756425,124.7,12.2,2804.969
07:31.0,13.27125,77.756454,124.8,12.2,2804.973
07:32.0,13.271324,77.756578,124.8,13.1,2804.986
07:33.0,13.271343,77.756609,124.9,12.3,2804.99
07:34.0,13.271361,77.75664,125.0,12.3,2804.993
07:35.0,13.271376,77.756664,124.9,9.3,2804.996
07:36.0,13.271392,77.756692,124.8,11.8,2804.999
07:37.0,13.271416,77.756731,124.6,15.0,2805.003
07:38.0,13.271434,77.756761,124.7,12.5,2805.007
07:39.0,13.271449,77.756786,124.5,9.7,2805.009
07:40.0,13.271469,77.756819,124.6,12.9,2805.013
07:41.0,13.271487,77.756849,124.6,11.8,2805.016
07:42.0,13.271502,77.756875,124.6,10.4,2805.019
07:43.0,13.271522,77.756908,124.6,12.2,2805.023
07:44.0,13.27154,77.756937,124.6,12.1,2805.026
07:45.0,13.271556,77.756965,124.5,10.9,2805.029
07:46.0,13.271574,77.756994,124.4,12.1,2805.032
07:47.0,13.271595,77.75703,124.3,13.8,2805.036
07:48.0,13.271615,77.757063,124.4,13.3,2805.04
07:49.0,13.271632,77.757091,124.5,11.5,2805.043
07:50.0,13.271651,77.757122,124.5,12.3,2805.047
07:51.0,13.27167,77.757154,124.7,12.6,2805.05
07:52.0,13.271686,77.757182,124.7,11.0,2805.053
07:53.0,13.271705,77.757213,124.6,12.4,2805.057
07:54.0,13.271723,77.757243,124.6,12.6,2805.06
07:55.0,13.27174,77.757271,124.6,10.9,2805.063
07:56.0,13.271757,77.7573,124.6,10.8,2805.066
07:57.0,13.271776,77.757331,124.4,12.4,2805.07
07:58.0,13.271793,77.75736,124.3,11.7,2805.073
07:59.0,13.271809,77.757385,124.5,10.1,2805.076
08:00.0,13.271826,77.757414,124.6,12.4,2805.079
08:01.0,13.271844,77.757444,124.6,11.9,2805.082
08:02.0,13.271975,77.757663,124.1,11.1,2805.107
08:03.0,13.271992,77.757691,124.0,10.3,2805.11
08:04.0,13.272008,77.757718,124.0,10.8,2805.113
08:05.0,13.272027,77.757749,124.1,13.4,2805.116
08:06.0,13.272044,77.757778,124.0,10.8,2805.12
08:07.0,13.272062,77.757808,124.1,12.0,2805.123
08:08.0,13.272082,77.757841,124.0,13.8,2805.127
08:09.0,13.2721,77.757871,124.0,12.2,2805.13
08:10.0,13.272121,77.757907,124.0,13.6,2805.134
08:11.0,13.272143,77.757942,124.1,14.8,2805.138
08:12.0,13.272052,77.75779,124.3,12.8,2805.14
08:13.0,13.27207,77.757821,124.4,11.2,2805.124
08:14.0,13.272088,77.75785,124.4,12.9,2805.128
08:15.0,13.272111,77.757889,124.4,14.5,2805.132
08:16.0,13.272129,77.75792,124.3,13.2,2805.135
08:17.0,13.27215,77.757954,124.2,12.6,2805.139
08:18.0,13.272165,77.757979,124.1,10.1,2805.142
08:19.0,13.272183,77.75801,123.8,13.4,2805.145
08:20.0,13.272207,77.75805,123.9,14.9,2805.15
08:21.0,13.272224,77.758078,123.9,12.2,2805.153
08:22.0,13.27224,77.758104,123.8,10.2,2805.156
08:23.0,13.272261,77.75814,123.8,14.4,2805.16
08:24.0,13.272281,77.758173,123.9,14.1,2805.163
08:25.0,13.272299,77.758203,124.0,11.8,2805.167
08:26.0,13.272318,77.758235,124.1,12.0,2805.17
08:27.0,13.272337,77.758265,124.2,13.3,2805.174
08:28.0,13.272355,77.758296,124.1,11.4,2805.177
08:29.0,13.272375,77.758329,124.0,13.0,2805.181
08:30.0,13.272393,77.75836,124.1,12.6,2805.184
08:31.0,13.272409,77.758385,124.0,10.3,2805.187
08:32.0,13.272518,77.758568,124.0,11.7,2805.207
08:33.0,13.272536,77.758598,123.9,12.5,2805.211
08:34.0,13.272554,77.758627,123.8,10.8,2805.214
08:35.0,13.272572,77.758658,123.8,11.7,2805.217
08:36.0,13.272587,77.758682,123.7,9.8,2805.22
08:37.0,13.272605,77.758713,123.6,13.6,2805.223
08:38.0,13.272627,77.75875,123.5,13.5,2805.227
08:39.0,13.27264,77.758772,123.4,9.0,2805.23
08:40.0,13.272655,77.758795,123.4,9.3,2805.232
08:41.0,13.272673,77.758827,123.4,12.3,2805.236
08:42.0,13.272691,77.758855,123.3,11.7,2805.239
08:43.0,13.27271,77.758888,123.4,13.3,2805.243
08:44.0,13.272729,77.758919,123.5,12.7,2805.246
08:45.0,13.272746,77.758948,123.6,11.0,2805.249
08:46.0,13.272762,77.758974,123.6,11.8,2805.252
08:47.0,13.272783,77.759009,123.6,12.7,2805.256
08:48.0,13.272801,77.759039,123.5,12.8,2805.259
08:49.0,13.272825,77.759079,123.4,15.1,2805.264
08:50.0,13.272845,77.759112,123.5,14.6,2805.268
08:51.0,13.272866,77.759148,123.6,12.8,2805.272
08:52.0,13.272882,77.759175,123.7,11.4,2805.275
08:53.0,13.272903,77.759209,123.6,13.6,2805.278
08:54.0,13.272919,77.759237,123.6,12.1,2805.281
08:55.0,13.272941,77.759272,123.7,13.5,2805.285
08:56.0,13.272959,77.759303,123.6,12.8,2805.289
08:57.0,13.272976,77.759331,123.5,10.5,2805.292
08:58.0,13.272989,77.759353,123.4,9.9,2805.294
08:59.0,13.273004,77.759377,123.4,8.7,2805.297
09:00.0,13.273017,77.759399,123.5,8.7,2805.299
09:01.0,13.27303,77.759421,123.4,9.2,2805.302
09:02.0,13.273027,77.759416,123.5,12.8,2805.304
09:03.0,13.273048,77.759451,123.5,14.0,2805.305
09:04.0,13.273074,77.759494,123.5,15.9,2805.31
09:05.0,13.273094,77.759528,123.4,14.9,2805.314
09:06.0,13.27312,77.759571,123.4,15.9,2805.318
09:07.0,13.27314,77.759605,123.4,14.7,2805.322
09:08.0,13.273164,77.759644,123.5,14.6,2805.327
09:09.0,13.273177,77.759666,123.5,9.3,2805.329
09:10.0,13.27319,77.759687,123.5,8.0,2805.331
09:11.0,13.273206,77.759715,123.5,10.8,2805.334
09:12.0,13.273235,77.759763,123.4,12.9,2805.34
09:13.0,13.273258,77.759802,123.3,14.5,2805.344
09:14.0,13.273278,77.759835,123.3,14.2,2805.348
09:15.0,13.273304,77.759877,123.4,15.7,2805.353
09:16.0,13.273324,77.759911,123.4,14.8,2805.356
09:17.0,13.273347,77.75995,123.3,14.2,2805.361
09:18.0,13.273363,77.759976,123.3,10.9,2805.363
09:19.0,13.27338,77.760005,123.3,11.1,2805.367
09:20.0,13.273393,77.760026,123.5,9.3,2805.369
09:21.0,13.273407,77.76005,123.7,9.1,2805.372
09:22.0,13.273423,77.760076,123.5,10.6,2805.375
09:23.0,13.273441,77.760106,123.5,11.6,2805.378
09:24.0,13.273458,77.760134,123.6,11.2,2805.381
09:25.0,13.273476,77.760164,123.6,12.6,2805.384
09:26.0,13.273497,77.7602,123.7,13.4,2805.388
09:27.0,13.273518,77.760235,123.8,15.3,2805.392
09:28.0,13.273543,77.760276,123.7,15.3,2805.397
09:29.0,13.273564,77.76031,123.6,14.8,2805.401
09:30.0,13.27359,77.760354,123.5,16.1,2805.405
09:31.0,13.27361,77.760387,123.6,14.8,2805.409
09:32.0,13.273557,77.7603,123.5,12.1,2805.412
09:33.0,13.273575,77.760329,123.6,13.0,2805.403
09:34.0,13.273597,77.760366,123.7,13.8,2805.407
09:35.0,13.273617,77.760399,123.8,13.9,2805.41
09:36.0,13.273634,77.760428,123.8,10.6,2805.414
09:37.0,13.273656,77.760464,123.7,14.3,2805.418
09:38.0,13.273675,77.760497,123.7,14.6,2805.421
09:39.0,13.273699,77.760535,123.7,14.1,2805.426
09:40.0,13.273714,77.760561,123.8,10.8,2805.428
09:41.0,13.27373,77.760588,123.7,10.2,2805.431
09:42.0,13.273748,77.760617,123.7,12.7,2805.435
09:43.0,13.273764,77.760645,123.9,11.1,2805.438
09:44.0,13.273779,77.760669,124.0,9.8,2805.44
09:45.0,13.273795,77.760695,123.9,10.3,2805.443
09:46.0,13.273807,77.760717,123.9,9.1,2805.446
09:47.0,13.273825,77.760747,123.8,12.8,2805.449
09:48.0,13.273844,77.760778,123.8,11.3,2805.453
09:49.0,13.273861,77.760806,123.9,11.7,2805.456
09:50.0,13.273885,77.760846,123.9,15.8,2805.46
09:51.0,13.273907,77.760882,124.0,15.3,2805.464
09:52.0,13.273929,77.76092,124.1,14.0,2805.468
09:53.0,13.273951,77.760956,124.1,14.7,2805.472
09:54.0,13.273973,77.760992,124.2,13.1,2805.476
09:55.0,13.273989,77.76102,124.3,12.3,2805.479
09:56.0,13.274009,77.761052,124.3,11.9,2805.483
09:57.0,13.274024,77.761078,124.4,10.7,2805.486
09:58.0,13.27404,77.761105,124.5,10.2,2805.489
09:59.0,13.274057,77.761133,124.6,11.4,2805.492
10:00.0,13.274077,77.761165,124.6,14.0,2805.496
10:01.0,13.274102,77.761207,124.5,15.7,2805.5
10:02.0,13.256166,77.731314,123.4,13.1,2805.502
10:03.0,13.256185,77.731346,123.0,12.6,2802.186
10:04.0,13.256198,77.731368,123.1,8.8,2802.188
10:05.0,13.256211,77.73139,123.1,8.9,2802.19
10:06.0,13.256228,77.731418,123.3,11.0,2802.194
10:07.0,13.256246,77.731447,123.4,12.7,2802.197
10:08.0,13.256268,77.731484,123.2,13.9,2802.201
10:09.0,13.256285,77.731513,123.1,12.4,2802.204
10:10.0,13.256302,77.731541,123.2,10.2,2802.207
10:11.0,13.256322,77.731574,123.3,14.2,2802.211
10:12.0,13.256333,77.731593,123.1,13.0,2802.213
10:13.0,13.256348,77.731617,123.2,10.0,2802.216
10:14.0,13.25637,77.731654,123.3,14.5,2802.22
10:15.0,13.256391,77.731689,123.4,15.3,2802.224
10:16.0,13.256415,77.731729,123.3,15.1,2802.228
10:17.0,13.256432,77.731758,123.3,11.2,2802.231
10:18.0,13.256449,77.731786,123.2,11.3,2802.234
10:19.0,13.256467,77.731816,123.3,12.2,2802.238
10:20.0,13.256484,77.731844,123.3,11.5,2802.241
10:21.0,13.2565,77.731871,123.3,10.2,2802.244
10:22.0,13.256518,77.731901,123.3,13.2,2802.247
10:23.0,13.256538,77.731935,123.2,13.3,2802.251
10:24.0,13.256555,77.731963,123.2,12.2,2802.254
10:25.0,13.256578,77.732002,123.1,14.6,2802.258
10:26.0,13.256598,77.732034,123.0,14.2,2802.262
10:27.0,13.256617,77.732067,123.0,11.7,2802.266
10:28.0,13.256633,77.732093,123.1,10.4,2802.268
10:29.0,13.256651,77.732122,123.2,13.1,2802.272
10:30.0,13.256675,77.732163,123.0,15.0,2802.276
10:31.0,13.256692,77.732192,123.1,12.7,2802.279
10:32.0,13.256727,77.73225,123.3,12.4,2802.286
10:33.0,13.256747,77.732282,123.3,12.2,2802.289
10:34.0,13.256765,77.732313,123.4,12.4,2802.293
10:35.0,13.25678,77.732337,123.3,9.9,2802.296
10:36.0,13.256797,77.732365,123.3,11.1,2802.299
10:37.0,13.256816,77.732397,123.4,14.0,2802.302
10:38.0,13.256839,77.732435,123.4,13.9,2802.306
10:39.0,13.256857,77.732465,123.3,12.4,2802.31
10:40.0,13.256875,77.732496,123.4,12.2,2802.313
10:41.0,13.256892,77.732525,123.5,11.2,2802.316
10:42.0,13.256912,77.732558,123.5,14.1,2802.32
10:43.0,13.256933,77.732593,123.5,14.3,2802.324
10:44.0,13.256948,77.732617,123.5,9.6,2802.327
10:45.0,13.256962,77.732642,123.6,10.5,2802.329
10:46.0,13.256983,77.732676,123.6,13.0,2802.333
10:47.0,13.257002,77.732708,123.5,14.1,2802.337
10:48.0,13.25702,77.732737,123.6,10.5,2802.34
10:49.0,13.257039,77.73277,123.6,12.9,2802.344
10:50.0,13.257056,77.732798,123.6,11.3,2802.347
10:51.0,13.257071,77.732822,123.6,10.2,2802.349
10:52.0,13.25709,77.732855,123.7,12.5,2802.353
10:53.0,13.257107,77.732882,123.6,9.9,2802.356
10:54.0,13.257123,77.73291,123.7,11.8,2802.359
10:55.0,13.257145,77.732946,123.7,13.4,2802.363
10:56.0,13.257159,77.732969,123.6,9.5,2802.366
10:57.0,13.257176,77.732997,123.5,12.0,2802.369
10:58.0,13.257195,77.733029,123.5,11.8,2802.372
10:59.0,13.257213,77.73306,123.4,12.2,2802.376
11:00.0,13.257232,77.733091,123.5,13.9,2802.379
11:01.0,13.257251,77.733123,123.5,12.3,2802.383
11:02.0,13.257225,77.733079,123.7,13.3,2802.385
11:03.0,13.257239,77.733103,123.7,9.7,2802.381
11:04.0,13.257256,77.733132,123.7,12.3,2802.384
11:05.0,13.257273,77.733159,123.9,10.3,2802.387
11:06.0,13.257293,77.733193,124.0,13.5,2802.391
11:07.0,13.257309,77.73322,124.0,10.6,2802.394
11:08.0,13.257325,77.733246,123.9,11.5,2802.397
11:09.0,13.257346,77.733282,124.0,13.3,2802.4
11:10.0,13.257364,77.733311,124.0,11.3,2802.404
11:11.0,13.257381,77.73334,124.0,12.5,2802.407
11:12.0,13.257513,77.73356,123.7,14.3,2802.431
11:13.0,13.257538,77.7336,123.8,15.3,2802.436
11:14.0,13.257556,77.73363,123.8,12.0,2802.439
11:15.0,13.257569,77.733652,123.8,9.1,2802.442
11:16.0,13.257583,77.733676,123.8,9.2,2802.444
11:17.0,13.257597,77.733699,123.7,9.6,2802.447
11:18.0,13.257613,77.733727,123.7,10.5,2802.45
11:19.0,13.25763,77.733754,123.7,11.4,2802.453
11:20.0,13.257647,77.733783,123.7,11.3,2802.456
11:21.0,13.25766,77.733805,123.8,9.0,2802.459
11:22.0,13.257676,77.733831,123.7,9.8,2802.461
11:23.0,13.257691,77.733856,123.7,10.1,2802.464
11:24.0,13.257706,77.733881,123.8,9.6,2802.467
11:25.0,13.257724,77.733911,123.7,12.7,2802.47
11:26.0,13.257738,77.733935,123.7,8.8,2802.473
11:27.0,13.257759,77.733969,123.5,13.5,2802.477
11:28.0,13.257779,77.734002,123.5,14.6,2802.48
11:29.0,13.257804,77.734045,123.5,15.9,2802.485
11:30.0,13.257825,77.73408,123.7,15.2,2802.489
11:31.0,13.257851,77.734123,123.7,15.9,2802.494
11:32.0,13.25774,77.733937,124.0,13.5,2802.496
